insured_sex,capital-loss,incident_type,collision_type,incident_severity,authorities_contacted,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,witnesses,total_claim_amount,fraud_reported,age_group,months_as_customer_groups,policy_annual_premium_groups
MALE,-32500,Multi-vehicle Collision,Front Collision,Major Damage,Other,10,3,0,2,53600,Y,26-30,0-50,medium
MALE,-24400,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,16,3,1,0,76560,Y,51-55,401-450,high
MALE,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,1,1,41130,N,31-35,101-150,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,2,3,2,3,78650,Y,26-30,101-150,low
FEMALE,-10600,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,1,1,71060,N,41-45,251-300,high
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,0,1,1,1,38830,N,36-40,151-200,high
FEMALE,0,Single Vehicle Collision,Front Collision,Major Damage,Fire,16,1,0,0,53500,Y,41-45,251-300,high
FEMALE,-74500,Single Vehicle Collision,Front Collision,Major Damage,Other,20,1,2,0,73700,Y,36-40,151-200,high
FEMALE,-53700,Parked Car,?,Trivial Damage,None,10,1,2,1,6300,N,36-40,151-200,low
FEMALE,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,21,3,2,2,65400,N,36-40,151-200,medium
MALE,-70300,Vehicle Theft,?,Trivial Damage,None,3,1,1,2,3200,N,26-30,51-100,low
FEMALE,-24700,Single Vehicle Collision,Rear Collision,Major Damage,Fire,7,1,0,3,75400,Y,51-55,351-400,high
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Fire,19,1,0,2,58140,N,26-30,0-50,medium
FEMALE,-41400,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,15,3,0,1,98670,Y,41-45,251-300,medium
MALE,0,Parked Car,?,Minor Damage,None,7,1,0,3,5900,N,26-30,101-150,very low
FEMALE,-52600,Single Vehicle Collision,Rear Collision,Major Damage,Fire,19,1,1,3,64100,N,26-30,51-100,medium
FEMALE,-32500,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,13,2,0,1,55440,Y,26-30,101-150,medium
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,2,3,1,2,80850,Y,26-30,101-150,medium
FEMALE,-44600,Vehicle Theft,?,Trivial Damage,Police,5,1,1,1,7480,N,36-40,251-300,medium
MALE,-70200,Single Vehicle Collision,Side Collision,Major Damage,Fire,21,1,2,3,53640,Y,61-65,451-500,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,21,3,2,2,63250,Y,21-25,0-50,high
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,7,3,0,1,59040,N,56-60,451-500,low
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,16,3,1,0,50500,Y,36-40,201-250,medium
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Police,13,1,0,1,57690,Y,41-45,251-300,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,Police,2,1,1,3,5940,N,36-40,251-300,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,19,3,0,2,47790,Y,26-30,101-150,medium
FEMALE,-47100,Parked Car,?,Trivial Damage,None,17,1,0,1,3850,N,26-30,101-150,high
MALE,0,Single Vehicle Collision,Front Collision,Major Damage,Police,3,1,2,0,59000,Y,31-35,151-200,medium
MALE,-33600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,17,3,0,1,70600,Y,41-45,201-250,medium
MALE,-45000,Multi-vehicle Collision,Side Collision,Minor Damage,Police,5,3,1,1,61490,N,36-40,251-300,medium
FEMALE,-51500,Single Vehicle Collision,Side Collision,Minor Damage,Police,9,1,1,0,57640,Y,26-30,51-100,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,Police,9,1,1,0,6890,Y,56-60,401-450,medium
MALE,-33100,Multi-vehicle Collision,Side Collision,Major Damage,Fire,9,3,2,2,53280,Y,41-45,251-300,high
FEMALE,-46900,Multi-vehicle Collision,Rear Collision,Minor Damage,Fire,22,3,0,0,78300,Y,26-30,0-50,low
MALE,-61000,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,0,3,41490,N,36-40,151-200,medium
FEMALE,-53300,Multi-vehicle Collision,Front Collision,Total Loss,Fire,14,3,2,3,68970,N,36-40,201-250,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,6,3,2,0,85300,Y,51-55,351-400,high
FEMALE,0,Parked Car,?,Minor Damage,None,6,1,0,0,3080,Y,36-40,251-300,medium
MALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Police,22,4,2,0,71760,Y,46-50,301-350,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Ambulance,14,3,1,0,59700,Y,26-30,101-150,low
FEMALE,-19800,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,16,3,0,2,64920,N,36-40,201-250,medium
FEMALE,-75700,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,10,3,0,1,37530,N,41-45,251-300,medium
MALE,-63400,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,9,3,1,2,64080,N,41-45,301-350,medium
MALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,4,1,1,0,60390,Y,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,6,3,0,1,64350,Y,31-35,101-150,low
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,15,3,2,1,70900,N,36-40,0-50,medium
FEMALE,-83900,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,12,3,1,3,46560,N,36-40,251-300,medium
FEMALE,-37600,Vehicle Theft,?,Trivial Damage,Police,3,1,2,1,4730,Y,31-35,151-200,medium
FEMALE,0,Vehicle Theft,?,Minor Damage,Police,14,1,0,0,6820,Y,36-40,201-250,medium
MALE,-27600,Single Vehicle Collision,Rear Collision,Major Damage,Police,10,1,0,2,59900,Y,56-60,451-500,medium
FEMALE,-49400,Multi-vehicle Collision,Side Collision,Major Damage,Police,17,3,1,3,79560,N,36-40,151-200,medium
FEMALE,-40900,Single Vehicle Collision,Front Collision,Total Loss,Other,8,1,0,1,70290,N,31-35,101-150,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Ambulance,14,3,2,0,63910,Y,31-35,151-200,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,None,6,1,1,0,6400,Y,36-40,201-250,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,6,1,1,2,66780,Y,21-25,51-100,medium
FEMALE,-33300,Parked Car,?,Minor Damage,Police,8,1,0,2,8760,N,36-40,0-50,medium
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,13,1,0,1,94160,N,41-45,251-300,medium
MALE,-32300,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,0,3,0,2,51570,N,36-40,51-100,low
FEMALE,-15700,Multi-vehicle Collision,Rear Collision,Major Damage,Fire,14,3,1,0,52700,Y,31-35,0-50,medium
MALE,-48300,Single Vehicle Collision,Side Collision,Minor Damage,Fire,13,1,2,2,101010,N,31-35,151-200,medium
MALE,-51800,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,16,4,1,2,53400,Y,36-40,151-200,medium
FEMALE,-54600,Single Vehicle Collision,Side Collision,Total Loss,Fire,13,1,1,2,72120,N,31-35,101-150,medium
MALE,-58100,Multi-vehicle Collision,Front Collision,Minor Damage,Police,15,3,2,2,77100,N,41-45,201-250,low
FEMALE,0,Parked Car,?,Trivial Damage,Police,3,1,2,3,3300,N,36-40,251-300,low
FEMALE,0,Parked Car,?,Minor Damage,None,7,1,1,0,5940,Y,31-35,201-250,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,16,2,1,0,63720,Y,26-30,101-150,medium
FEMALE,-39300,Vehicle Theft,?,Trivial Damage,Police,15,1,1,3,7680,N,41-45,251-300,low
MALE,-82700,Multi-vehicle Collision,Side Collision,Total Loss,Police,21,3,1,2,93730,N,31-35,101-150,medium
MALE,-55600,Multi-vehicle Collision,Rear Collision,Major Damage,Police,23,3,0,2,87300,N,41-45,51-100,medium
MALE,-35200,Parked Car,?,Trivial Damage,Police,5,1,0,2,5670,N,36-40,251-300,medium
MALE,-77600,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,15,3,0,0,65800,Y,46-50,251-300,medium
FEMALE,-57100,Single Vehicle Collision,Front Collision,Major Damage,Other,14,1,2,1,36720,Y,31-35,151-200,low
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,1,1,1,1,52800,Y,26-30,101-150,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,14,3,1,2,59100,Y,36-40,151-200,medium
MALE,-53800,Multi-vehicle Collision,Rear Collision,Total Loss,Other,17,3,1,1,77440,N,36-40,151-200,medium
MALE,-39700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,20,3,2,2,45700,N,36-40,151-200,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,10,3,2,2,80740,Y,41-45,251-300,medium
MALE,-22200,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,0,3,31350,Y,26-30,0-50,low
FEMALE,-38600,Single Vehicle Collision,Side Collision,Total Loss,Other,0,1,0,0,35000,Y,31-35,151-200,medium
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,10,3,2,2,68000,N,56-60,451-500,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Other,13,3,2,0,84500,Y,26-30,51-100,medium
FEMALE,-39500,Single Vehicle Collision,Rear Collision,Minor Damage,Police,14,1,2,1,75500,N,41-45,251-300,medium
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,22,3,1,3,90600,N,46-50,251-300,medium
FEMALE,-63900,Multi-vehicle Collision,Side Collision,Total Loss,Ambulance,8,3,1,1,64320,N,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,1,3,1,0,31700,Y,31-35,0-50,low
MALE,-73900,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,0,1,74280,Y,26-30,51-100,medium
FEMALE,-30200,Single Vehicle Collision,Front Collision,Total Loss,Fire,17,1,0,2,80520,N,36-40,201-250,high
MALE,-46800,Multi-vehicle Collision,Rear Collision,Major Damage,Other,13,3,0,3,63600,N,26-30,101-150,high
MALE,0,Single Vehicle Collision,Front Collision,Total Loss,Police,4,1,1,2,32800,N,41-45,251-300,high
FEMALE,0,Multi-vehicle Collision,Rear Collision,Total Loss,Police,14,3,0,2,44190,N,46-50,351-400,low
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,4,2,2,2,50400,Y,26-30,101-150,medium
MALE,-65400,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,1,1,88400,N,51-55,401-450,low
FEMALE,-42100,Multi-vehicle Collision,Front Collision,Total Loss,Fire,21,3,0,2,66550,N,46-50,301-350,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,23,3,0,0,65780,Y,46-50,251-300,high
MALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,6,3,0,2,51810,Y,36-40,251-300,medium
MALE,-27900,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,1,0,55660,Y,31-35,51-100,high
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,23,1,2,3,44640,N,26-30,101-150,medium
FEMALE,-73600,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,3,3,1,3,77660,Y,46-50,251-300,medium
FEMALE,-53600,Parked Car,?,Trivial Damage,None,8,1,2,2,5640,N,21-25,51-100,medium
FEMALE,0,Parked Car,?,Trivial Damage,None,4,1,2,2,3190,N,26-30,101-150,medium
MALE,-48700,Single Vehicle Collision,Side Collision,Total Loss,Fire,22,1,0,0,53440,Y,26-30,101-150,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Police,16,1,0,1,65250,N,31-35,101-150,medium
MALE,-56600,Multi-vehicle Collision,Side Collision,Minor Damage,Fire,14,3,2,1,44280,N,36-40,151-200,medium
MALE,-53700,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,1,2,0,70290,Y,36-40,151-200,low
FEMALE,-64300,Single Vehicle Collision,Front Collision,Minor Damage,Other,20,1,1,1,87100,N,26-30,101-150,low
MALE,-49200,Multi-vehicle Collision,Front Collision,Total Loss,Fire,0,3,1,3,50380,N,31-35,201-250,medium
FEMALE,-61000,Multi-vehicle Collision,Side Collision,Total Loss,Police,23,3,2,2,64800,Y,41-45,301-350,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,13,1,1,3,70400,N,41-45,301-350,medium
MALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Police,8,1,2,2,57860,Y,26-30,51-100,low
MALE,0,Vehicle Theft,?,Minor Damage,None,3,1,0,3,6240,N,46-50,301-350,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,16,1,2,3,66600,Y,36-40,201-250,medium
MALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,0,2,70920,N,26-30,51-100,high
MALE,-43800,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,0,1,2,0,39480,Y,56-60,401-450,medium
FEMALE,-74300,Single Vehicle Collision,Front Collision,Total Loss,Other,12,1,2,2,63240,N,41-45,251-300,low
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,21,3,1,0,67650,Y,31-35,0-50,high
FEMALE,-22300,Single Vehicle Collision,Front Collision,Major Damage,Fire,0,1,1,3,74200,Y,36-40,201-250,low
FEMALE,-73400,Single Vehicle Collision,Side Collision,Minor Damage,Other,22,1,1,3,64900,N,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,20,3,1,0,35900,Y,41-45,251-300,medium
FEMALE,-41500,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,0,1,1,3,52200,N,26-30,51-100,medium
MALE,-83200,Single Vehicle Collision,Front Collision,Minor Damage,Police,20,1,0,2,78000,N,56-60,451-500,medium
FEMALE,-32800,Multi-vehicle Collision,Front Collision,Minor Damage,Ambulance,1,3,0,0,67200,Y,26-30,51-100,low
FEMALE,-65600,Single Vehicle Collision,Rear Collision,Total Loss,Fire,11,1,0,0,63250,Y,41-45,251-300,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Other,14,3,1,1,68760,N,36-40,201-250,medium
MALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,20,3,0,2,65040,N,26-30,101-150,high
MALE,-13200,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,22,1,1,3,82800,Y,31-35,151-200,high
MALE,0,Single Vehicle Collision,Side Collision,Total Loss,Other,12,1,1,0,61700,Y,41-45,301-350,medium
FEMALE,-42600,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,3,3,2,1,78100,Y,61-65,451-500,high
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,15,3,2,1,65520,Y,21-25,51-100,low
MALE,0,Parked Car,?,Trivial Damage,None,8,1,0,2,4500,N,26-30,151-200,medium
FEMALE,-54300,Multi-vehicle Collision,Side Collision,Major Damage,Other,13,3,0,2,42700,Y,41-45,251-300,medium
FEMALE,-55300,Parked Car,?,Minor Damage,Police,8,1,2,2,5580,Y,46-50,301-350,low
FEMALE,0,Parked Car,?,Minor Damage,None,7,1,0,0,3600,Y,31-35,151-200,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,None,9,1,2,0,2800,Y,36-40,151-200,medium
FEMALE,-37900,Single Vehicle Collision,Front Collision,Minor Damage,Ambulance,15,1,1,0,54000,Y,46-50,301-350,medium
FEMALE,-60700,Single Vehicle Collision,Side Collision,Minor Damage,Police,5,1,0,2,48950,Y,15-20,0-50,medium
MALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Other,15,4,0,1,77800,N,46-50,301-350,high
MALE,-22400,Multi-vehicle Collision,Front Collision,Major Damage,Other,22,3,2,1,52560,N,56-60,401-450,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,16,2,1,2,44110,N,41-45,251-300,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Other,7,1,1,3,74360,N,26-30,101-150,low
FEMALE,0,Parked Car,?,Minor Damage,None,2,1,1,2,6120,Y,31-35,101-150,high
MALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Police,17,4,0,0,62280,Y,51-55,401-450,low
FEMALE,-56800,Multi-vehicle Collision,Front Collision,Total Loss,Other,12,3,1,0,26730,Y,41-45,301-350,low
FEMALE,-85900,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,9,1,1,0,66200,Y,26-30,51-100,low
MALE,-79800,Single Vehicle Collision,Side Collision,Total Loss,Fire,16,1,1,2,45500,N,26-30,0-50,medium
MALE,0,Multi-vehicle Collision,Side Collision,Minor Damage,Ambulance,19,3,2,0,53040,Y,41-45,201-250,medium
MALE,-54100,Multi-vehicle Collision,Front Collision,Major Damage,Other,14,3,1,2,50800,Y,31-35,151-200,low
FEMALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Police,18,3,1,3,44200,N,41-45,251-300,high
FEMALE,-24300,Single Vehicle Collision,Front Collision,Minor Damage,Police,23,1,1,3,62920,N,31-35,0-50,medium
MALE,-42300,Multi-vehicle Collision,Rear Collision,Minor Damage,Other,15,3,0,2,49950,Y,26-30,101-150,medium
MALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,18,1,0,1,56430,Y,46-50,301-350,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Police,16,1,2,2,100210,N,41-45,251-300,medium
MALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,12,3,1,0,49140,Y,26-30,101-150,high
FEMALE,-62500,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,16,1,0,1,66840,N,36-40,201-250,low
MALE,-45300,Single Vehicle Collision,Front Collision,Total Loss,Other,21,1,1,2,62460,N,21-25,0-50,medium
MALE,0,Multi-vehicle Collision,Side Collision,Total Loss,Other,15,3,0,1,62810,N,36-40,201-250,medium
FEMALE,-73400,Single Vehicle Collision,Front Collision,Major Damage,Ambulance,21,1,1,2,54160,N,31-35,101-150,medium
FEMALE,-51000,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,1,1,0,2,48400,N,31-35,51-100,medium
MALE,-36700,Multi-vehicle Collision,Side Collision,Total Loss,Fire,17,3,0,0,51480,Y,46-50,301-350,medium
FEMALE,-36600,Multi-vehicle Collision,Rear Collision,Total Loss,Fire,5,3,2,1,51700,N,36-40,151-200,medium
MALE,-42700,Multi-vehicle Collision,Front Collision,Total Loss,Other,15,3,1,2,65520,N,56-60,401-450,medium
MALE,-41600,Multi-vehicle Collision,Rear Collision,Major Damage,Other,2,4,2,2,47700,Y,31-35,151-200,medium
FEMALE,-57500,Vehicle Theft,?,Minor Damage,None,3,1,2,0,5220,Y,31-35,151-200,medium
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Other,19,1,1,0,73320,Y,56-60,401-450,medium
MALE,-28800,Single Vehicle Collision,Front Collision,Minor Damage,Fire,17,1,0,2,74900,N,46-50,251-300,medium
FEMALE,-47400,Vehicle Theft,?,Trivial Damage,Police,7,1,0,1,3190,N,26-30,0-50,medium
MALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,21,1,1,0,76920,Y,31-35,101-150,low
FEMALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Police,10,2,1,3,77990,N,51-55,351-400,medium
MALE,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,11,1,1,0,59670,Y,46-50,251-300,medium
FEMALE,-36900,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,23,3,2,0,44880,Y,31-35,151-200,medium
MALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,14,1,0,2,82830,N,51-55,351-400,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,1,3,84480,Y,56-60,451-500,medium
FEMALE,-66300,Multi-vehicle Collision,Side Collision,Total Loss,Fire,6,3,2,3,79800,N,26-30,51-100,medium
MALE,-64700,Multi-vehicle Collision,Rear Collision,Minor Damage,Police,10,3,0,3,53020,N,41-45,251-300,medium
FEMALE,-64100,Multi-vehicle Collision,Side Collision,Total Loss,Police,5,3,0,0,24200,Y,41-45,251-300,medium
MALE,-45300,Single Vehicle Collision,Rear Collision,Minor Damage,Fire,17,1,1,3,43230,N,36-40,251-300,medium
FEMALE,0,Vehicle Theft,?,Trivial Damage,None,3,1,2,3,3190,N,41-45,251-300,low
FEMALE,-50400,Parked Car,?,Minor Damage,None,9,1,0,3,5850,N,41-45,251-300,medium
FEMALE,-29900,Parked Car,?,Trivial Damage,Police,6,1,2,0,6820,Y,26-30,51-100,medium
FEMALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,22,3,2,2,69480,N,41-45,251-300,medium
MALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Fire,10,3,1,2,94560,N,26-30,51-100,high
MALE,0,Vehicle Theft,?,Minor Damage,None,4,1,1,2,7800,N,36-40,201-250,low
FEMALE,-43700,Single Vehicle Collision,Front Collision,Total Loss,Other,23,1,1,3,61270,N,31-35,101-150,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Police,19,1,0,2,71440,N,46-50,301-350,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Ambulance,22,1,1,2,55600,N,36-40,151-200,high
MALE,0,Vehicle Theft,?,Trivial Damage,Police,6,1,1,3,5000,N,41-45,251-300,medium
FEMALE,-56900,Single Vehicle Collision,Side Collision,Minor Damage,Other,6,1,2,0,95810,Y,31-35,101-150,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Ambulance,18,1,2,2,69300,N,41-45,201-250,medium
MALE,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,22,1,1,0,81120,Y,36-40,151-200,medium
MALE,0,Single Vehicle Collision,Front Collision,Major Damage,Other,21,1,0,0,91260,Y,21-25,0-50,medium
FEMALE,-54700,Single Vehicle Collision,Side Collision,Minor Damage,Fire,12,1,0,0,60600,Y,46-50,301-350,high
MALE,0,Multi-vehicle Collision,Front Collision,Major Damage,Ambulance,6,3,0,3,64800,Y,31-35,151-200,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Police,0,4,0,0,66880,Y,31-35,0-50,medium
MALE,-91400,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,0,2,58200,N,31-35,201-250,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Police,19,1,1,0,60570,Y,31-35,51-100,medium
FEMALE,-38400,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,22,3,0,0,69680,Y,36-40,151-200,low
MALE,0,Single Vehicle Collision,Front Collision,Total Loss,Fire,2,1,2,3,55700,N,56-60,451-500,low
FEMALE,-67400,Multi-vehicle Collision,Front Collision,Total Loss,Ambulance,16,4,1,2,62370,N,46-50,251-300,medium
FEMALE,-53300,Multi-vehicle Collision,Side Collision,Total Loss,Other,23,3,0,0,54340,Y,41-45,251-300,medium
FEMALE,0,Single Vehicle Collision,Front Collision,Major Damage,Police,21,1,1,0,55170,Y,46-50,301-350,low
MALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Other,10,1,2,3,58500,N,31-35,101-150,medium
MALE,0,Single Vehicle Collision,Rear Collision,Major Damage,Fire,12,1,0,3,59940,N,31-35,151-200,medium
MALE,0,Single Vehicle Collision,Side Collision,Total Loss,Police,6,1,1,0,73400,Y,26-30,101-150,medium
MALE,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,6,1,1,2,41850,N,21-25,51-100,medium
FEMALE,0,Parked Car,?,Trivial Damage,Police,7,1,2,2,6400,Y,41-45,251-300,low
FEMALE,0,Vehicle Theft,?,Trivial Damage,Police,3,1,1,1,3190,N,36-40,201-250,high
MALE,-66000,Parked Car,?,Trivial Damage,None,10,1,2,1,5900,N,26-30,51-100,medium
MALE,0,Single Vehicle Collision,Rear Collision,Total Loss,Fire,14,1,0,2,57330,N,31-35,101-150,medium
MALE,-45500,Multi-vehicle Collision,Front Collision,Total Loss,Other,17,3,0,3,81960,N,46-50,301-350,low
FEMALE,0,Single Vehicle Collision,Side Collision,Major Damage,Fire,16,1,0,0,70400,Y,31-35,151-200,low
FEMALE,0,Parked Car,?,Minor Damage,None,3,1,2,1,3770,N,31-35,101-150,medium
FEMALE,-15600,Parked Car,?,Minor Damage,None,7,1,0,0,7400,Y,36-40,151-200,medium
FEMALE,-71000,Single Vehicle Collision,Rear Collision,Total Loss,Police,13,1,1,1,54810,Y,51-55,401-450,medium
FEMALE,-67300,Single Vehicle Collision,Rear Collision,Total Loss,Fire,20,1,2,3,49400,N,36-40,151-200,medium
MALE,0,Single Vehicle Collision,Front Collision,Minor Damage,Fire,23,1,2,2,68750,N,51-55,351-400,high
FEMALE,0,Single Vehicle Collision,Front Collision,Total Loss,Ambulance,11,1,1,0,61500,Y,31-35,0-50,medium
FEMALE,0,Multi-vehicle Collision,Rear Collision,Major Damage,Ambulance,0,4,0,3,76890,N,36-40,201-250,medium
FEMALE,-50300,Single Vehicle Collision,Rear Collision,Minor Damage,Ambulance,2,1,0,1,56070,N,31-35,0-50,medium
FEMALE,-51200,Single Vehicle Collision,Side Collision,Total Loss,Fire,3,1,2,0,56000,Y,26-30,51-100,medium
FEMALE,0,Parked Car,?,Trivial Damage,None,3,1,1,0,4290,Y,31-35,101-150,medium
FEMALE,-43600,Multi-vehicle Collision,Rear Collision,Total Loss,Other,15,3,2,1,60750,N,36-40,0-50,medium
FEMALE,-42700,Single Vehicle Collision,Side Collision,Minor Damage,Other,23,1,2,3,48730,N,26-30,101-150,medium
MALE,-8500,Multi-vehicle Collision,Front Collision,Minor Damage,Police,9,3,2,0,95150,Y,41-45,251-300,medium
MALE,0,Vehicle Theft,?,Minor Damage,Police,20,1,0,1,7480,N,21-25,51-100,medium
MALE,-41200,Single Vehicle Collision,Side Collision,Major Damage,Ambulance,5,1,2,1,79800,Y,26-30,101-150,high
FEMALE,-12100,Single Vehicle Collision,Side Collision,Total Loss,Other,15,1,0,2,103560,N,51-55,351-400,medium
FEMALE,0,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,13,1,2,3,79500,N,36-40,151-200,medium
FEMALE,0,Single Vehicle Collision,Rear Collision,Minor Damage,Other,16,1,2,2,76230,Y,41-45,251-300,medium
MALE,-17000,Single Vehicle Collision,Side Collision,Minor Damage,Ambulance,0,1,0,2,59520,N,51-55,401-450,low
FEMALE,-50300,Multi-vehicle Collision,Front Collision,Major Damage,Police,10,3,2,1,47760,Y,56-60,451-500,medium
MALE,-72900,Multi-vehicle Collision,Side Collision,Total Loss,Police,14,3,2,0,84590,Y,41-45,201-250,low
MALE,0,Multi-vehicle Collision,Front Collision,Total Loss,Other,1,3,2,2,61650,N,36-40,0-50,high
FEMALE,-60600,Single Vehicle Collision,Rear Collision,Major Damage,Police,16,1,2,1,81400,N,31-35,0-50,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Fire,2,3,0,1,58410,N,31-35,101-150,medium
FEMALE,0,Multi-vehicle Collision,Side Collision,Major Damage,Ambulance,23,3,0,0,38610,Y,56-60,401-450,high
FEMALE,0,Multi-vehicle Collision,Front Collision,Minor Damage,Fire,19,3,2,2,57600,N,36-40,201-250,medium
